Name,Range,Possetion,location,c0,a0,p0,c1,a1,p1,c2,a2,p2,c3,a3,p3,c4,a4,p4,c5,a5,p5
VJ Yashone Eternitee,42 Lacs - 91 Lacs,27-Dec,Hinjewadi,,,,2BHK,692,65,,,,,,,,,,,,
VTP Bellissimo,43 Lacs - 1.22 Cr,26-Mar,Hinjewadi,,,,,,,2BHK,618,59.25,2BHK,663,63.5,2BHK,695,68,2BHK,721,71
Park Titan,69 Lacs - 1.00 Cr,26-Dec,Hinjewadi,2BHK,726,69,2BHK,789,75,,,,,,,,,,,,
Kasturi Eon Homes,87 Lacs - 1.22 Cr,25-Dec,Hinjewadi,2BHK,840,87,,,,,,,,,,,,,,,
Kohinoor Sportsville,38.68 Lacs - 60.73 Lacs,25-Dec,Hinjewadi,,,,2BHK,693,59,2BHK,725,60.73,,,,,,,,,
Kohinoor Coral,45.25 Lacs - 51.86 Lacs,24-Mar,Hinjewadi,2BHK,615,45.25,2BHK,633,46.03,2BHK,664,48.22,2BHK,670,48.42,2BHK,705,51.86,,,
Joyville Sensorium,69.95 Lacs - 1.07 Cr,25-Dec,Hinjewadi,2BHK,697,69.95,2BHK,702,74.77,2BHK,715,71.29,2BHK,789,84.57,2BHK,792,83.74,,,
Park Astra,64 Lacs - 90 Lacs,24-Dec,Hinjewadi,2BHK,690,64,2BHK,770,74,,,,,,,,,,,,
Rahul Aston,77 Lacs - 95 Lacs,25-Mar,Hinjewadi,2BHK,779,77,2BHK,799,79,,,,,,,,,,,,
Rahul Aston,77 Lacs - 95 Lacs,25-Mar,Hinjewadi,2BHK,779,77,2BHK,799,79,,,,,,,,,,,,
Park Connect,59.61 Lacs - 71 Lacs,23-Jun,Hinjewadi,2BHK,640,59.61,2BHK,646,60.11,2BHK,650,64,2BHK,715,70.18,2BHK,721,71,,,
Kasturi Apostrophe ,69 Lacs - 69 Lacs,25-Dec,Hinjewadi,2BHK,710,69,,,,,,,,,,,,,,,
Rohan Ipsita,58 Lacs - 66 Lacs,22-Jul,Hinjewadi,2BHK,648,58,2BHK,737,66,,,,,,,,,,,,
Rohan Prathama,58 Lacs - 64 Lacs,23-Sep,Hinjewadi,2BHK,630,58,2BHK,700,64,,,,,,,,,,,,
Megapolis Sparkle Tower F,75.67 Lacs - 97.31 Lacs,25-Jun,Hinjewadi,2BHK,822,75.67,,,,,,,,,,,,,,,
Rama Melange,57 Lacs - 62 Lacs,22-Dec,Hinjewadi,2BHK,675,57,2BHK,730,62,,,,,,,,,,,,
Menlo Homes Hinjewadi,37 Lacs - 57.7 Lacs,24-Dec,Hinjewadi,,,,2BHK,638,53.5,2BHK,673,56.1,2BHK,684,57,2BHK,695,57.7,,,
Ashiana Malhar,59 Lacs - 84.9 Lacs,26-Aug,Hinjewadi,2BHK,733,59,2BHK,856,74.5,,,,,,,,,,,,
Rama Fusion Towers,53 Lacs - 53 Lacs,22-Dec,Hinjewadi,2BHK,660,53,,,,,,,,,,,,,,,
VJ YashOne Hinjewadi ,39.9 Lac - 69.95 Lac,23-Dec,Hinjewadi,,,,2BHK,678,55.95,,,,,,,,,,,,
Vj Yashwin Sukhniwas,42 Lac - 58.02 Lac,24-Dec,Hinjewadi,,,,,,,2BHK,680,58.02,,,,,,,,,
Godrej Woodsville,56.5 Lacs - 1.09 Cr,26-Nov,Hinjewadi,,,,2BHK,771,86.6,,,,,,,,,,,,
TCG Cliff Garden,40 Lacs - 67 Lacs,24-Dec,Hinjewadi,,,,2BHK,658,60,2BHK,665,60,2BHK,742,67,,,,,,
32 Pinewood Drive,61 Lacs - 77.8 Lacs,22-Dec,Hinjewadi,2BHK,772,61,2BHK,777,61,,,,,,,,,,,,
Kolte Patil Arezo,58.8 Lacs - 59.8 Lacs,25-Oct,Hinjewadi,2BHK,701,58.8,2BHK,713,59.8,,,,,,,,,,,,
Kolte Patil Universe,37 Lacs - 57 Lacs,24-Dec,Hinjewadi,,,,2BHK,629,57,,,,,,,,,,,,
Kolte Patil Oro Avenue,52.75 Lacs - 54.98 Lacs,23-Dec,Hinjewadi,2BHK,629,52.75,2BHK,657,54.98,,,,,,,,,,,,
