Name,Range,Possetion,location,c0,a0,p0,c1,a1,p1,c2,a2,p2,c3,a3,p3,c4,a4,p4,c5,a5,p5
Kohinoor Kaleido,64 Lacs - 95 Lacs,December 2025,Kharadi,2BHK,696,64,2BHK,767,72,,,,,,,,,,,,
Kohinoor Kaleido,64 Lacs - 95 Lacs,December 2025,Kharadi,2BHK,696,64,2BHK,767,72,,,,,,,,,,,,
VJ Yashwin Orizzonte,67.43 Lacs - 90 Lacs,June 2025,Kharadi,2BHK,697,67.43,2BHK,701,69.35,2BHK,707,70.17,2BHK,730,72.12,2BHK,739,73.19,2BHK,744,73.28
VJ Yashwin Orizzonte,67.43 Lacs - 90 Lacs,June 2025,Kharadi,2BHK,697,67.43,2BHK,701,69.35,2BHK,707,70.17,2BHK,730,72.12,2BHK,739,73.19,2BHK,744,73.28
VJ Yashwin Orizzonte,67.43 Lacs - 90 Lacs,June 2025,Kharadi,2BHK,697,67.43,2BHK,701,69.35,2BHK,707,70.17,2BHK,730,72.12,2BHK,739,73.19,2BHK,744,73.28
VJ Yashwin Orizzonte,67.43 Lacs - 90 Lacs,June 2025,Kharadi,2BHK,697,67.43,2BHK,701,69.35,2BHK,707,70.17,2BHK,730,72.12,2BHK,739,73.19,2BHK,744,73.28
VJ Yashwin Orizzonte,67.43 Lacs - 90 Lacs,June 2025,Kharadi,2BHK,697,67.43,2BHK,701,69.35,2BHK,707,70.17,2BHK,730,72.12,2BHK,739,73.19,2BHK,744,73.28
VJ Yashwin Orizzonte,67.43 Lacs - 90 Lacs,June 2025,Kharadi,2BHK,697,67.43,2BHK,701,69.35,2BHK,707,70.17,2BHK,730,72.12,2BHK,739,73.19,2BHK,744,73.28
VTP Euphoria,41.65 Lacs - 1.37 Cr,December 2025,Kharadi,,,,2BHK,630,57.5,2BHK,643,59,2BHK,667,61,2BHK,681,63.5,2BHK,849,79
VTP Euphoria,41.65 Lacs - 1.37 Cr,December 2025,Kharadi,,,,2BHK,630,57.5,2BHK,643,59,2BHK,667,61,2BHK,681,63.5,2BHK,849,79
VTP Euphoria,41.65 Lacs - 1.37 Cr,December 2025,Kharadi,,,,2BHK,630,57.5,2BHK,643,59,2BHK,667,61,2BHK,681,63.5,2BHK,849,79
VTP Euphoria,41.65 Lacs - 1.37 Cr,December 2025,Kharadi,,,,2BHK,630,57.5,2BHK,643,59,2BHK,667,61,2BHK,681,63.5,2BHK,849,79
VTP Euphoria,41.65 Lacs - 1.37 Cr,December 2025,Kharadi,,,,2BHK,630,57.5,2BHK,643,59,2BHK,667,61,2BHK,681,63.5,2BHK,849,79
VTP Euphoria,41.65 Lacs - 1.37 Cr,December 2025,Kharadi,,,,2BHK,630,57.5,2BHK,643,59,2BHK,667,61,2BHK,681,63.5,2BHK,849,79
Godrej Sky Greens,28 Lacs - 79 Lacs,March 2026,Kharadi,,,,,,,2BHK,621,59,,,,,,,,,
Ganga Platino,1.57 Cr - 2.94 Cr,December 2023,Kharadi,2BHK,1342,157,2BHK,1832,209,,,,,,,,,,,,
Ganga Platino,1.57 Cr - 2.94 Cr,December 2023,Kharadi,2BHK,1342,157,2BHK,1832,209,,,,,,,,,,,,
VTP Cygnus,31.66 Lacs - 72 Lacs,December 2023,Kharadi,,,,,,,2BHK,620,44.92,2BHK,649,49.55,2BHK,708,53.65,2BHK,746,62
VTP Cygnus,31.66 Lacs - 72 Lacs,December 2023,Kharadi,,,,,,,2BHK,620,44.92,2BHK,649,49.55,2BHK,708,53.65,2BHK,746,62
VTP Cygnus,31.66 Lacs - 72 Lacs,December 2023,Kharadi,,,,,,,2BHK,620,44.92,2BHK,649,49.55,2BHK,708,53.65,2BHK,746,62
VTP Cygnus,31.66 Lacs - 72 Lacs,December 2023,Kharadi,,,,,,,2BHK,620,44.92,2BHK,649,49.55,2BHK,708,53.65,2BHK,746,62
Godrej Parkridge,28 Lacs - 79 Lacs,March 2025,Kharadi,,,,,,,2BHK,624,59,,,,,,,,,
VTP Altair,71 Lac - 1.27 Cr,July 2025,Kharadi,2BHK,725,71,2BHK,754,74,2BHK,762,75,2BHK,850,82,2BHK,852,82,,,
VTP Altair,71 Lac - 1.27 Cr,July 2025,Kharadi,2BHK,725,71,2BHK,754,74,2BHK,762,75,2BHK,850,82,2BHK,852,82,,,
VTP Altair,71 Lac - 1.27 Cr,July 2025,Kharadi,2BHK,725,71,2BHK,754,74,2BHK,762,75,2BHK,850,82,2BHK,852,82,,,
VTP Altair,71 Lac - 1.27 Cr,July 2025,Kharadi,2BHK,725,71,2BHK,754,74,2BHK,762,75,2BHK,850,82,2BHK,852,82,,,
VTP Altair,71 Lac - 1.27 Cr,July 2025,Kharadi,2BHK,725,71,2BHK,754,74,2BHK,762,75,2BHK,850,82,2BHK,852,82,,,
Ganga Arcadia,62 Lacs - 1.14 Cr,July 2026,Kharadi,,,,2BHK,889,80,2BHK,900,82,,,,,,,,,
Ganga Arcadia,62 Lacs - 1.14 Cr,July 2026,Kharadi,,,,2BHK,889,80,2BHK,900,82,,,,,,,,,
Ganga Altus,75 Lacs - 94 Lacs,December 2027,Kharadi,2BHK,693,75,,,,,,,,,,,,,,,
Ganga Serio,95 Lacs - 1.25 Cr,December 2025,Kharadi,2BHK,807,95,,,,,,,,,,,,,,,
Majestique Towers East,79 Lacs - 1.02 Cr,December 2025,Kharadi,2BHK,824,79,,,,,,,,,,,,,,,
VJ Yashwin Enchante,65 Lacs - 85 Lacs,June 2027,Kharadi,2BHK,702,65,,,,,,,,,,,,,,,
Gagan Avencia,84 Lacs - 1.23 Cr,March 2024,Kharadi,2BHK,720,84,2BHK,795,92,2BHK,828,96,,,,,,,,,
Gagan Avencia,84 Lacs - 1.23 Cr,March 2024,Kharadi,2BHK,720,84,2BHK,795,92,2BHK,828,96,,,,,,,,,
Gagan Avencia,84 Lacs - 1.23 Cr,March 2024,Kharadi,2BHK,720,84,2BHK,795,92,2BHK,828,96,,,,,,,,,
VTP Beaumonde,62 Lacs - 84.62 Lacs,June 2024,Kharadi,2BHK,710,62,2BHK,746,65,2BHK,792,62.88,2BHK,807,62.76,,,,,,
VTP Beaumonde,62 Lacs - 84.62 Lacs,June 2024,Kharadi,2BHK,710,62,2BHK,746,65,2BHK,792,62.88,2BHK,807,62.76,,,,,,
VTP Beaumonde,62 Lacs - 84.62 Lacs,June 2024,Kharadi,2BHK,710,62,2BHK,746,65,2BHK,792,62.88,2BHK,807,62.76,,,,,,
VTP Beaumonde,62 Lacs - 84.62 Lacs,June 2024,Kharadi,2BHK,710,62,2BHK,746,65,2BHK,792,62.88,2BHK,807,62.76,,,,,,
Godrej Boulevard,62.2 Lacs - 80.7 Lacs,March 2025,Kharadi,2BHK,691,62.2,,,,,,,,,,,,,,,
Nyati Elysia,85 Lacs - 89 Lacs,September 2023,Kharadi,2BHK,718,85,2BHK,756,89,,,,,,,,,,,,
Nyati Elysia,85 Lacs - 89 Lacs,September 2023,Kharadi,2BHK,718,85,2BHK,756,89,,,,,,,,,,,,
Kohinoor Zen Elite,95 Lacs - 1.36 Cr,December 2026,Kharadi,2BHK,838,95,2BHK,856,97,2BHK,868,98,2BHK,956,108,,,,,,
Kohinoor Zen Elite,95 Lacs - 1.36 Cr,December 2026,Kharadi,2BHK,838,95,2BHK,856,97,2BHK,868,98,2BHK,956,108,,,,,,
Kohinoor Zen Elite,95 Lacs - 1.36 Cr,December 2026,Kharadi,2BHK,838,95,2BHK,856,97,2BHK,868,98,2BHK,956,108,,,,,,
Kohinoor Zen Elite,95 Lacs - 1.36 Cr,December 2026,Kharadi,2BHK,838,95,2BHK,856,97,2BHK,868,98,2BHK,956,108,,,,,,
