Ticker,Company,Index Fund,Currency,Currency_Name,Last Update
MMM,3M,US S&P 500,USD,US Dollar,2022-09-29
AOS,A. O. Smith,US S&P 500,USD,US Dollar,
ABT,Abbott,US S&P 500,USD,US Dollar,
ABBV,AbbVie,US S&P 500,USD,US Dollar,
ABMD,Abiomed,US S&P 500,USD,US Dollar,
ACN,Accenture,US S&P 500,USD,US Dollar,
ATVI,Activision Blizzard,US S&P 500,USD,US Dollar,
ADM,ADM,US S&P 500,USD,US Dollar,
ADBE,Adobe Inc.,US S&P 500,USD,US Dollar,
ADP,ADP,US S&P 500,USD,US Dollar,
AAP,Advance Auto Parts,US S&P 500,USD,US Dollar,
AES,AES Corporation,US S&P 500,USD,US Dollar,
AFL,Aflac,US S&P 500,USD,US Dollar,
A,Agilent Technologies,US S&P 500,USD,US Dollar,
APD,Air Products and Chemicals,US S&P 500,USD,US Dollar,
AKAM,Akamai,US S&P 500,USD,US Dollar,
ALK,Alaska Air Group,US S&P 500,USD,US Dollar,
ALB,Albemarle Corporation,US S&P 500,USD,US Dollar,
ARE,Alexandria Real Estate Equities,US S&P 500,USD,US Dollar,
ALGN,Align Technology,US S&P 500,USD,US Dollar,
ALLE,Allegion,US S&P 500,USD,US Dollar,
LNT,Alliant Energy,US S&P 500,USD,US Dollar,
ALL,Allstate,US S&P 500,USD,US Dollar,
GOOGL,Alphabet Inc. (Class A),US S&P 500,USD,US Dollar,
GOOG,Alphabet Inc. (Class C),US S&P 500,USD,US Dollar,
MO,Altria,US S&P 500,USD,US Dollar,
AMZN,Amazon,US S&P 500,USD,US Dollar,
AMCR,Amcor,US S&P 500,USD,US Dollar,
AMD,AMD,US S&P 500,USD,US Dollar,
AEE,Ameren,US S&P 500,USD,US Dollar,
AAL,American Airlines Group,US S&P 500,USD,US Dollar,
AEP,American Electric Power,US S&P 500,USD,US Dollar,
AXP,American Express,US S&P 500,USD,US Dollar,
AIG,American International Group,US S&P 500,USD,US Dollar,
AMT,American Tower,US S&P 500,USD,US Dollar,
AWK,American Water Works,US S&P 500,USD,US Dollar,
AMP,Ameriprise Financial,US S&P 500,USD,US Dollar,
ABC,AmerisourceBergen,US S&P 500,USD,US Dollar,
AME,Ametek,US S&P 500,USD,US Dollar,
AMGN,Amgen,US S&P 500,USD,US Dollar,
APH,Amphenol,US S&P 500,USD,US Dollar,
ADI,Analog Devices,US S&P 500,USD,US Dollar,
ANSS,Ansys,US S&P 500,USD,US Dollar,
AON,Aon,US S&P 500,USD,US Dollar,
APA,APA Corporation,US S&P 500,USD,US Dollar,
AAPL,Apple Inc.,US S&P 500,USD,US Dollar,
AMAT,Applied Materials,US S&P 500,USD,US Dollar,
APTV,Aptiv,US S&P 500,USD,US Dollar,
ANET,Arista Networks,US S&P 500,USD,US Dollar,
AJG,Arthur J. Gallagher & Co.,US S&P 500,USD,US Dollar,
AIZ,Assurant,US S&P 500,USD,US Dollar,
T,AT&T,US S&P 500,USD,US Dollar,
ATO,Atmos Energy,US S&P 500,USD,US Dollar,
ADSK,Autodesk,US S&P 500,USD,US Dollar,
AZO,AutoZone,US S&P 500,USD,US Dollar,
AVB,AvalonBay Communities,US S&P 500,USD,US Dollar,
AVY,Avery Dennison,US S&P 500,USD,US Dollar,
BKR,Baker Hughes,US S&P 500,USD,US Dollar,
BALL,Ball Corporation,US S&P 500,USD,US Dollar,
BAC,Bank of America,US S&P 500,USD,US Dollar,
BBWI,"Bath & Body Works, Inc.",US S&P 500,USD,US Dollar,
BAX,Baxter International,US S&P 500,USD,US Dollar,
BDX,Becton Dickinson,US S&P 500,USD,US Dollar,
WRB,Berkley,US S&P 500,USD,US Dollar,
BRK.B,Berkshire Hathaway,US S&P 500,USD,US Dollar,
BBY,Best Buy,US S&P 500,USD,US Dollar,
BIO,Bio-Rad,US S&P 500,USD,US Dollar,
TECH,Bio-Techne,US S&P 500,USD,US Dollar,
BIIB,Biogen,US S&P 500,USD,US Dollar,
BLK,BlackRock,US S&P 500,USD,US Dollar,
BK,BNY Mellon,US S&P 500,USD,US Dollar,
BA,Boeing,US S&P 500,USD,US Dollar,
BKNG,Booking Holdings,US S&P 500,USD,US Dollar,
BWA,BorgWarner,US S&P 500,USD,US Dollar,
BXP,Boston Properties,US S&P 500,USD,US Dollar,
BSX,Boston Scientific,US S&P 500,USD,US Dollar,
BMY,Bristol Myers Squibb,US S&P 500,USD,US Dollar,
AVGO,Broadcom Inc.,US S&P 500,USD,US Dollar,
BR,Broadridge Financial Solutions,US S&P 500,USD,US Dollar,
BRO,Brown & Brown,US S&P 500,USD,US Dollar,
BF.B,Brown–Forman,US S&P 500,USD,US Dollar,
CHRW,C.H. Robinson,US S&P 500,USD,US Dollar,
CDNS,Cadence Design Systems,US S&P 500,USD,US Dollar,
CZR,Caesars Entertainment,US S&P 500,USD,US Dollar,
CPT,Camden Property Trust,US S&P 500,USD,US Dollar,
CPB,Campbell Soup Company,US S&P 500,USD,US Dollar,
COF,Capital One,US S&P 500,USD,US Dollar,
CAH,Cardinal Health,US S&P 500,USD,US Dollar,
KMX,CarMax,US S&P 500,USD,US Dollar,
CCL,Carnival,US S&P 500,USD,US Dollar,
CARR,Carrier Global,US S&P 500,USD,US Dollar,
CTLT,Catalent,US S&P 500,USD,US Dollar,
CAT,Caterpillar Inc.,US S&P 500,USD,US Dollar,
CBOE,Cboe Global Markets,US S&P 500,USD,US Dollar,
CBRE,CBRE Group,US S&P 500,USD,US Dollar,
CDW,CDW,US S&P 500,USD,US Dollar,
CE,Celanese,US S&P 500,USD,US Dollar,
CNC,Centene Corporation,US S&P 500,USD,US Dollar,
CNP,CenterPoint Energy,US S&P 500,USD,US Dollar,
CDAY,Ceridian,US S&P 500,USD,US Dollar,
CF,CF Industries,US S&P 500,USD,US Dollar,
CRL,Charles River Laboratories,US S&P 500,USD,US Dollar,
SCHW,Charles Schwab Corporation,US S&P 500,USD,US Dollar,
CHTR,Charter Communications,US S&P 500,USD,US Dollar,
CVX,Chevron Corporation,US S&P 500,USD,US Dollar,
CMG,Chipotle Mexican Grill,US S&P 500,USD,US Dollar,
CB,Chubb Limited,US S&P 500,USD,US Dollar,
CHD,Church & Dwight,US S&P 500,USD,US Dollar,
CI,Cigna,US S&P 500,USD,US Dollar,
CINF,Cincinnati Financial,US S&P 500,USD,US Dollar,
CTAS,Cintas,US S&P 500,USD,US Dollar,
CSCO,Cisco,US S&P 500,USD,US Dollar,
C,Citigroup,US S&P 500,USD,US Dollar,
CFG,Citizens Financial Group,US S&P 500,USD,US Dollar,
CTXS,Citrix,US S&P 500,USD,US Dollar,
CLX,Clorox,US S&P 500,USD,US Dollar,
CME,CME Group,US S&P 500,USD,US Dollar,
CMS,CMS Energy,US S&P 500,USD,US Dollar,
KO,The Coca-Cola Company,US S&P 500,USD,US Dollar,
CTSH,Cognizant,US S&P 500,USD,US Dollar,
CL,Colgate-Palmolive,US S&P 500,USD,US Dollar,
CMCSA,Comcast,US S&P 500,USD,US Dollar,
CMA,Comerica,US S&P 500,USD,US Dollar,
CAG,Conagra Brands,US S&P 500,USD,US Dollar,
COP,ConocoPhillips,US S&P 500,USD,US Dollar,
ED,Consolidated Edison,US S&P 500,USD,US Dollar,
STZ,Constellation Brands,US S&P 500,USD,US Dollar,
CEG,Constellation Energy,US S&P 500,USD,US Dollar,
COO,CooperCompanies,US S&P 500,USD,US Dollar,
CPRT,Copart,US S&P 500,USD,US Dollar,
GLW,Corning Inc.,US S&P 500,USD,US Dollar,
CTVA,Corteva,US S&P 500,USD,US Dollar,
CSGP,CoStar Group,US S&P 500,USD,US Dollar,
COST,Costco,US S&P 500,USD,US Dollar,
CTRA,Coterra,US S&P 500,USD,US Dollar,
CCI,Crown Castle,US S&P 500,USD,US Dollar,
CSX,CSX,US S&P 500,USD,US Dollar,
CMI,Cummins,US S&P 500,USD,US Dollar,
CVS,CVS Health,US S&P 500,USD,US Dollar,
DHI,D.R. Horton,US S&P 500,USD,US Dollar,
DHR,Danaher Corporation,US S&P 500,USD,US Dollar,
DRI,Darden Restaurants,US S&P 500,USD,US Dollar,
DVA,DaVita Inc.,US S&P 500,USD,US Dollar,
DE,John Deere,US S&P 500,USD,US Dollar,
DAL,Delta Air Lines,US S&P 500,USD,US Dollar,
XRAY,Dentsply Sirona,US S&P 500,USD,US Dollar,
DVN,Devon Energy,US S&P 500,USD,US Dollar,
DXCM,Dexcom,US S&P 500,USD,US Dollar,
FANG,Diamondback Energy,US S&P 500,USD,US Dollar,
DLR,Digital Realty,US S&P 500,USD,US Dollar,
